,YY,F,CC,M,T
SA,1977,65.155,SA,59.054,62.02475
AllWorld,1977,64.85907587,AllWorld,59.5591312,62.12000391
AF,1978,51.33488462,AF,47.57111538,49.41574859
AS,1978,65.78578571,AS,60.95392857,63.27955226
EU,1978,75.28694286,EU,68.06071429,71.59948223
NA,1978,67.68503571,NA,62.34964286,64.93287979
OC,1978,65.95072727,OC,60.70418182,63.1304102
SA,1978,65.418,SA,59.51125,62.398
AllWorld,1978,65.2435627,AllWorld,59.85847215,62.45934551
AF,1979,51.90415385,AF,48.08571154,49.95833537
AS,1979,66.3055,AS,61.27925,63.6987622
EU,1979,75.48257143,EU,68.17702857,71.75414983
NA,1979,68.02039286,NA,62.36375,65.07878571
OC,1979,66.39054545,OC,61.06381818,63.52829933
SA,1979,65.74175,SA,59.9695,62.79675
AllWorld,1979,65.64081893,AllWorld,60.15650972,62.80251374
AF,1980,52.84809434,AF,49.00081132,50.88243488
AS,1980,66.82014286,AS,61.52157143,64.06085192
EU,1980,75.60482857,EU,68.24137143,71.84714634
NA,1980,68.29514286,NA,62.78725,65.43911498
OC,1980,66.65463636,OC,61.41136364,63.83402439
SA,1980,66.02175,SA,60.3765,63.148
AllWorld,1980,66.04076583,AllWorld,60.55647797,63.20192875
AF,1981,53.29328302,AF,49.40077358,51.3045237
AS,1981,67.16407143,AS,61.56825,64.23369425
EU,1981,75.88554286,EU,68.50131429,72.11785575
NA,1981,68.76432143,NA,63.05671429,65.77926655
OC,1981,67.09918182,OC,61.74745455,64.22581375
SA,1981,66.51175,SA,60.9075,63.6625
AllWorld,1981,66.45302509,AllWorld,60.86366778,63.55394233
AF,1982,53.75650943,AF,49.76207547,51.71660653
AS,1982,66.87707143,AS,60.96321429,63.75029878
EU,1982,76.157,EU,68.82757143,72.41792056
NA,1982,68.97082143,NA,63.22067857,65.97774826
OC,1982,67.43372727,OC,62.02281818,64.52885366
SA,1982,66.7955,SA,61.2,63.95125
AllWorld,1982,66.66510493,AllWorld,60.99939299,63.72377963
AF,1983,53.74418868,AF,49.72326415,51.69087851
AS,1983,68.01417857,AS,62.19085714,64.95523606
EU,1983,76.19477143,EU,68.73077143,72.38550871
NA,1983,69.41696429,NA,63.46589286,66.31891463
OC,1983,67.82809091,OC,62.37872727,64.90187361
SA,1983,67.102,SA,61.5425,64.277
AllWorld,1983,67.05003231,AllWorld,61.33866881,64.08823526
AF,1984,53.98386792,AF,49.88149057,51.88948228
AS,1984,68.33360714,AS,62.47635714,65.2580993
EU,1984,76.38671429,EU,69.01571429,72.6267324
NA,1984,69.76985714,NA,64.05917857,66.81631707
OC,1984,68.29727273,OC,62.73418182,65.30861197
SA,1984,67.374,SA,61.8185,64.5475
AllWorld,1984,67.3575532,AllWorld,61.66423706,64.40779051
AF,1985,54.35418868,AF,50.1964717,52.23553198
AS,1985,68.69221429,AS,62.828,65.61792509
EU,1985,76.37662857,EU,69.13537143,72.68203415
NA,1985,70.021,NA,64.38003571,67.11180836
OC,1985,68.511,OC,63.02763636,65.56647894
SA,1985,67.68925,SA,62.2315,64.92075
AllWorld,1985,67.60738026,AllWorld,61.96650253,64.68908809
AF,1986,54.65945283,AF,50.58149057,52.58417257
AS,1986,69.11607143,AS,63.32003571,66.08522822
EU,1986,76.78088571,EU,69.69651429,73.16780627
NA,1986,70.48539286,NA,64.81175,67.56577352
OC,1986,68.79572727,OC,63.22063636,65.80472284
SA,1986,68.0445,SA,62.60975,65.2875
AllWorld,1986,67.98033835,AllWorld,62.37336282,65.0825339
AF,1987,54.76901887,AF,50.48060377,52.57448228
AS,1987,69.28385714,AS,63.86567857,66.46021951
EU,1987,77.0018,EU,69.96908571,73.41604181
NA,1987,70.888,NA,65.12935714,67.92372213
OC,1987,69.43941667,OC,63.989,66.52529268
SA,1987,68.418,SA,63.1065,65.73125
AllWorld,1987,68.30001545,AllWorld,62.7567042,65.4385014
AF,1988,54.51418868,AF,50.3544717,52.38338978
AS,1988,68.92117857,AS,63.71771429,66.20239721
EU,1988,77.20737143,EU,70.1024,73.58441185
NA,1988,71.22896429,NA,65.56053571,68.32226742
OC,1988,69.39709091,OC,63.82090909,66.40867184
SA,1988,68.774,SA,63.62825,66.17725
AllWorld,1988,68.34046565,AllWorld,62.8640468,65.51306468
AF,1989,55.22962264,AF,51.12756604,53.14557984
AS,1989,70.238,AS,64.70367857,67.35722125
EU,1989,77.28788571,EU,70.15808571,73.65181394
NA,1989,71.58592857,NA,65.679,68.54924303
OC,1989,69.61427273,OC,64.07545455,66.64994457
SA,1989,69.15375,SA,63.946,66.522
AllWorld,1989,68.85157661,AllWorld,63.28163081,65.97930044
AF,1990,55.36403774,AF,50.99145283,53.12449425
AS,1990,70.41168966,AS,64.89951724,67.54387216
EU,1990,77.41594286,EU,70.12037143,73.69341812
NA,1990,71.88035714,NA,66.15125,68.94662544
OC,1990,70.27425,OC,64.341,67.12469309
