Year,continent,female,male,health expenditure per capita,all,GDP per capita,Female,Male,Health,All,GDP
2007,AS,74.85172414,69.22068966,864.8477821,71.93793103,18782.76977,9.048189075,8.969687665,2.315285308,8.730331436,5.315456459
2007,EU,80.83846154,74.38717949,2366.000004,77.04117647,30685.64674,9.771874903,9.639166694,6.334022194,9.349657339,8.683927942
2007,NA,76.34761905,70.94761905,1413.129306,73.6375,16645.36073,9.229015104,9.19346494,3.783090605,8.936589806,4.71057737
2007,OC,72.595,67.865,465.3940759,80.2,31784.441,8.775392865,8.794016015,1.245907186,9.733009709,8.994882774
2007,SA,75.6,69.35384615,733.5896721,73.27,11871.35164,9.138641788,8.98694222,1.963894022,8.891990291,3.359549925
2008,AF,60.12407407,56.76296296,224.7912177,58.37755102,5037.08761,7.267888569,7.355402716,0.601788909,7.08465425,1.425477723
2008,AS,75.11034483,69.58965517,886.0687684,72.26896552,19908.95359,9.079451534,9.017498594,2.372096042,8.770505524,5.634162441
2008,EU,81.17435897,74.75384615,2574.26075,77.41470588,30949.45763,9.812478691,9.686679736,6.891557354,9.394988578,8.758585476
2008,NA,76.55714286,71.15714286,1465.572869,73.80625,16831.00723,9.254342657,9.220615249,3.923487347,8.957069175,4.763114664
2008,OC,72.76,68.01,512.730165,80.3,31444.633,8.795338313,8.812805263,1.372630701,9.745145631,8.898718329
2008,SA,75.87692308,69.56153846,768.8812904,73.53,12377.76533,9.172116666,9.013855202,2.058373267,8.923543689,3.502863182
2009,AF,60.80740741,57.32037037,238.0783481,58.98571429,5085.452957,7.35049093,7.427632138,0.637359906,7.158460472,1.439164942
2009,AS,75.41034483,70.00689655,1011.637653,72.64137931,20197.71342,9.115715985,9.071565158,2.708256694,8.815701373,5.715880437
2009,EU,81.33589744,75.09230769,2694.589394,77.70588235,29458.84009,9.832005703,9.730537927,7.213689349,9.430325528,8.336746059
2009,NA,76.90952381,71.44285714,1581.863636,74.19375,16396.56364,9.296938997,9.257638398,4.234809537,9.004095874,4.640168687
2009,OC,72.685,68.035,537.2335987,80.6,31233.076,8.7862722,8.816044789,1.438228881,9.781553398,8.838848457
2009,SA,76.16153846,69.86923077,824.8259023,73.77,12128.10588,9.206521402,9.053726285,2.208142673,8.952669903,3.432210454
2010,AF,61.4537037,57.90185185,241.4697371,59.64489796,5186.026931,7.428616199,7.502981102,0.646438999,7.23845849,1.467627016
