,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AF,42.59774953095685,43.110813320825514,43.371581144465296,43.919634615384616,44.12722795497186,44.35446529080676,44.73466416510319,45.11693855534709,45.17,45.60300703564728,46.16103799249531,46.383489681050655,47.15905206378987,47.56295684803002,47.87636163227017,48.24914962476548,48.982886491557224,49.41574859287054,49.958335365853664,50.88243488265071,51.30452369995398,51.71660653474459,51.690878508973775,51.889482282558674,52.23553198343304,52.58417257248044,52.57448228255867,52.383389783709156,53.145579843534286,53.12449424758398,52.96862816382881,52.72370133456052,52.98680395766222,53.14199631845375,53.38859963184537,53.40162080073631,53.39698251265532,53.004842613897836,53.722703175333635,54.39959364933272,54.70391532443627,55.06037091578463,55.4775158766682,56.009506212609296,56.51635664979291,57.14255223193741,57.72804970087437,58.286776346065345,58.901931431201106,59.508563736769446,60.10249470777726,60.748358950759325,61.25216198803497,61.692163368614814,62.198684767602394,62.7366723423838,63.154351587666824,63.44203405430281,63.79055085135757,63.404616198803495
AS,54.57121602787457,55.0410862369338,54.816103884372176,55.60597289972899,56.33374254742548,57.50466724738676,58.031028745644605,58.60223344947735,59.13267857142858,59.67033885017422,60.11917944250872,60.79907578397213,61.25625609756098,61.23189634146342,61.87813414634147,61.569094076655055,62.860788327526144,63.279552264808366,63.69876219512195,64.06085191637632,64.23369425087108,63.75029878048781,64.95523606271777,65.2580993031359,65.61792508710802,66.08522822299652,66.46021951219512,66.20239721254356,67.3572212543554,67.54387216148024,68.07836837678722,68.0812708158116,68.22119091673676,68.44151976450799,68.65230613961312,68.90813372582002,69.08949116904962,69.3056778805719,69.72115138772077,70.0787905803196,70.39350798990749,70.64335576114382,70.88579983179142,71.21243902439025,71.39148528174937,71.62603448275863,71.92491084945333,72.26550126156434,72.65540117746005,72.98650462573592,73.12713624894869,73.24719259882254,73.47650294365013,73.57380151387721,73.85094701429773,74.07886963835155,74.42486627417999,74.6165180824222,74.81637510513036,73.7554819175778
EU,68.76038954703833,68.7186905923345,68.98485017421604,69.58336097560976,69.62530174216027,69.84847386759583,70.02572961672475,69.9486425087108,69.8098355400697,70.11483972125437,70.31143344947736,70.5761818815331,70.76593170731707,70.96718327526133,71.05809965156796,71.25519721254356,71.55128222996515,71.59948222996516,71.75414982578398,71.84714634146341,72.11785574912892,72.4179205574913,72.3855087108014,72.6267324041812,72.68203414634148,73.16780627177702,73.41604181184668,73.58441184668989,73.65181393728224,73.69341811846691,73.6261632791328,73.264412543554,73.08102299651569,73.8213455284553,73.95804200542005,74.42443834688349,74.60064864864864,74.9639952574526,75.16018360433604,75.25684047462097,75.68171588661833,75.80131575477918,76.02740738299276,76.52243968358603,76.62204152933423,76.94411799604482,77.16164403427818,77.52908437705999,77.77165853658538,78.04910942649968,78.49288529993409,78.59281740276862,78.79838562953198,79.10268820039552,79.00517732366514,79.33341793012525,79.48019512195124,79.57645352669745,79.87768292682927,79.07962557679632
NA,58.43625925925926,58.8493342366757,59.25809304426378,59.83078410117434,60.09926196928636,60.511670280036135,60.87163143631437,61.1910243902439,61.51946522131888,61.602457091237575,62.33203252032521,62.42302077687444,63.13872628726287,63.515694670280034,64.1319241192412,64.20347515808491,64.7737443541102,64.93287979094076,65.07878571428571,65.4391149825784,65.77926655052265,65.97774825783972,66.31891463414634,66.81631707317074,67.11180836236933,67.56577351916377,67.92372212543555,68.32226742160279,68.54924303135888,68.94662543554007,69.26171864111498,69.49716463414634,69.76418989547038,69.98233449477353,70.20812979094076,70.48206010452962,70.76462543554007,70.76226480836237,71.25846515679443,71.5449555749129,71.711393728223,72.05377700348433,72.20771254355401,72.42355052264809,72.76329529616724,73.0587417998318,73.33570647603028,73.52459125315391,73.87707989907484,73.68010765349032,74.26960975609757,74.46227502102606,74.65473338940286,74.75443734230446,74.89766105971405,74.93291169049623,75.03816736753575,75.00536324041812,75.11925522648085,74.19388937282231
OC,55.16385144124169,55.70679157427938,56.27458980044346,56.806115299334806,57.305439024390246,57.74876274944568,58.33137915742793,58.82339911308204,59.30674279379157,59.75992461197339,60.2500155210643,60.43520620842572,60.96457206208425,61.43439911308204,61.672137472283815,62.25363192904656,62.526572062084256,63.13041019955654,63.52829933481154,63.8340243902439,64.22581374722837,64.52885365853659,64.90187361419069,65.30861197339246,65.56647893569844,65.80472283813748,66.52529268292683,66.40867184035477,66.64994456762749,67.12469308943089,67.22533702882484,67.30258093126386,67.72719512195123,67.98090243902439,68.52606504065041,68.45870953436807,68.75528603104213,68.95221507760532,69.03834349593495,69.16909756097562,69.64597117516631,69.61112195121952,69.9170310421286,70.05970731707318,70.09270731707316,70.28834368070953,70.3220199556541,70.49383813747228,70.58385809312638,70.71694900221729,70.87062527716186,70.9700088691796,71.07775609756096,71.14644345898004,71.20016629711752,71.38222172949003,71.54068514412417,71.6549578713969,71.76566518847007,71.66764523281596
SA,56.370000000000005,56.624249999999996,56.966750000000005,57.16775,57.472750000000005,57.886250000000004,58.1795,58.438250000000004,58.7475,59.235,59.540749999999996,60.00725,60.4655,60.84825,61.2555,61.57975,62.02475,62.397999999999996,62.79675,63.147999999999996,63.662499999999994,63.95125,64.277,64.5475,64.92075,65.2875,65.73124999999999,66.17725,66.52199999999999,66.81675,67.2065,67.4865,67.82925,68.25025,68.48375,68.812,69.02674999999999,69.3715,69.6695,69.8945,70.21775,70.4625,70.54675,70.89150000000001,71.27225,71.56875,71.652,71.98725,72.331,72.61725,72.8665,73.06375,73.26650000000001,73.45625,73.52325,73.49875,73.816,73.982,74.17775,72.52275
AllWorld,55.98324430106178,56.34182766017482,56.61199467462679,57.152269648538756,57.49395387303904,57.97571490587853,58.36232218686914,58.68674800281019,58.947703687768126,59.3309278850478,59.78574148764515,60.10403738864267,60.62500636966917,60.92673004135281,61.3120261702841,61.51838300018259,62.12000391087383,62.45934551302357,62.80251373930948,63.201928752218784,63.55394233295084,63.72377963151667,64.08823525513831,64.40779050607317,64.68908808582505,65.08253390409254,65.4385014024938,65.51306468415004,65.97930043902637,66.20830884208368,66.39445258161477,66.39260504322272,66.60160881472272,66.93639142420248,67.20281543474495,67.41449375205626,67.60563063282264,67.72674927298168,68.09505780335331,68.39062964002697,68.7257090173919,68.93874023106856,69.17703611285583,69.51985712671781,69.77635601235282,70.10475669854704,70.35405516938171,70.68117356255264,71.02015485624129,71.25974740745211,71.62154188165324,71.84740047375936,72.08767334136348,72.28763064736201,72.44598107706614,72.66047388847448,72.909044249243,73.04622112920624,73.25787988304468,72.43733471646931
