Year,continent,deaths Over 70 years old,deaths bewteen 50-69 years old,deaths bewteen 15-49 years old,deaths bewteen 5-14 years old,deaths Under 5 years old,sum,deaths70+P,deaths50-69P,deaths15-49P,deaths5-14P,deathsUnder5P
1990,AF,21159.188679245282,22337.188679245282,22346.188679245282,5191.452830188679,78518.0,149552.01886792452,0.16990984713207546,0.16626319296226413,0.15501609813207548,0.03449526466037736,0.47431559707547166
1990,AS,31237.241379310344,24876.310344827587,15503.758620689656,3628.5862068965516,40497.1724137931,115743.06896551725,0.3383926510689655,0.2516370535862069,0.14906306803448277,0.02518052768965517,0.23572669962068965
1990,EU,117998.0,56564.05405405405,18461.945945945947,846.6756756756756,3650.2162162162163,197520.8918918919,0.6118964401351352,0.2722086417027027,0.08865628254054055,0.004517878297297297,0.022720757324324325
1990,NA,92460.8947368421,41280.05263157895,22130.78947368421,1861.0,14551.315789473685,172284.05263157896,0.40668375689473685,0.2245439735263158,0.16869768357894735,0.022190046315789476,0.17788453973684212
1990,OC,1362.1666666666667,1042.1666666666667,684.2222222222222,96.5,813.8888888888889,3998.9444444444443,0.3081436109444444,0.29984936794444444,0.2309101783333333,0.018892731777777776,0.1422041112222222
1990,SA,51830.083333333336,37473.333333333336,29850.666666666668,3364.0833333333335,34062.0,156580.16666666666,0.35655174025,0.23639146725000001,0.17700522424999998,0.02298694625,0.207064622
1990,AllWorld,2264658.6535421996,1606682.0151013865,985257.2245154934,184087.04257801344,1736185.084758339,6776870.0204954315,0.3606682184893368,0.2411550819959906,0.15926821798133992,0.022224209427271012,0.2166842721399357
1991,AF,21802.69811320755,22813.962264150945,23167.830188679247,5098.584905660377,79145.7358490566,152028.81132075473,0.1725682582830189,0.16689900641509434,0.15915694671698116,0.033504572075471695,0.46787121666037734
1991,AS,31833.51724137931,25449.758620689656,15518.551724137931,3442.689655172414,39525.8275862069,115770.3448275862,0.343436211137931,0.25672608455172413,0.1490499850689655,0.02443900927586207,0.22634870986206898
1991,EU,119098.78378378379,57529.13513513513,19199.27027027027,858.4054054054054,3375.864864864865,200061.45945945947,0.6131624153243243,0.2708938435405406,0.09046284167567567,0.004415069594594595,0.021065829594594594
1991,NA,94203.94736842105,41058.21052631579,22605.21052631579,1782.2631578947369,13984.473684210527,173634.1052631579,0.4119184999473684,0.22439068989473687,0.1717427252105263,0.021486593052631578,0.17046149194736843
1991,OC,1398.2777777777778,1043.0,706.6666666666666,102.11111111111111,836.2222222222222,4086.277777777778,0.3078767754444444,0.3025594821111111,0.2319545242222222,0.019099451,0.13850976716666666
1991,SA,52421.0,37796.833333333336,30435.916666666668,3383.5,32786.333333333336,156823.58333333334,0.3594409255833333,0.23815436416666666,0.18058758258333332,0.022816885999999998,0.19900024175
1991,AllWorld,2312925.1748977955,1629395.4142685179,1011957.9208632482,189059.507747892,1708632.4939342705,6851970.511711724,0.3635573128172029,0.24250451181141056,0.16154127549681488,0.021930287856937132,0.21046661214015372
1992,AF,22472.33962264151,23350.377358490565,24591.188679245282,5116.1509433962265,79192.28301886792,154722.3396226415,0.17404473011320754,0.1674083263018868,0.16645855658490566,0.03315958681132076,0.4589288000943396
1992,AS,32745.58620689655,26413.724137931036,16496.0,3558.3793103448274,39189.48275862069,118403.1724137931,0.3454645702068965,0.2592701846206897,0.15519643179310344,0.02473858248275862,0.21533023103448273
1992,EU,120237.78378378379,59299.40540540541,20672.135135135137,848.4594594594595,3103.864864864865,204161.64864864864,0.6136065538918919,0.26776192913513513,0.09388279183783783,0.004575321081081081,0.02017340418918919
1992,NA,96342.15789473684,40805.42105263158,23003.157894736843,1697.9473684210527,13384.894736842105,175233.57894736843,0.4192175903157895,0.2246868794736842,0.1733588372631579,0.02052330736842105,0.16221338536842103
1992,OC,1450.0,1050.0555555555557,712.3333333333334,99.94444444444444,841.5555555555555,4153.888888888889,0.31427064344444444,0.30341543916666663,0.23271026477777776,0.018122995555555556,0.13148065727777777
1992,SA,54091.75,38452.25,30764.666666666668,3247.9166666666665,31054.666666666668,157611.25,0.36557149108333337,0.24025698208333335,0.182430181,0.02210238891666667,0.18963895708333334
1992,AllWorld,2363693.3739297227,1654482.4619300019,1032024.9259584453,183850.39974181895,1669987.1068002025,6904038.268360191,0.367645357436509,0.2432229815401994,0.1648048236081118,0.021428761602257675,0.2028980758639348
1993,AF,23173.849056603773,23928.169811320753,26255.943396226416,5205.0,79561.3396226415,158124.30188679244,0.17571155094339622,0.16747690754716982,0.1741643464528302,0.032566863396226414,0.4500803317924528
1993,AS,33961.75862068965,27461.137931034482,17525.51724137931,3656.1724137931033,39023.65517241379,121628.24137931035,0.34870488103448277,0.2608633224137931,0.16136347489655173,0.024904531206896553,0.20416379048275862
1993,EU,123997.94594594595,63147.59459459459,23170.972972972973,844.0,2929.324324324324,214089.83783783784,0.6167607674324325,0.2667035315405405,0.09362600864864866,0.004148086918918919,0.018761605594594596
1993,NA,100083.47368421052,41301.78947368421,23754.473684210527,1678.8947368421052,12903.21052631579,179721.84210526315,0.42558928321052636,0.2251176803157895,0.17567940652631578,0.01989062847368421,0.1537230015263158
1993,OC,1501.111111111111,1053.2777777777778,725.5555555555555,100.55555555555556,850.6666666666666,4231.166666666667,0.3187141211111111,0.3014673528333333,0.2334960633888889,0.018171658222222224,0.12815080466666667
1993,SA,56263.833333333336,39341.083333333336,31553.333333333332,3162.75,29657.0,159978.0,0.37182724841666664,0.2413355525833333,0.1852144045,0.021276429166666666,0.18034636541666668
