45.7,56.5,64.4,66.9,OC,Kiribati
57.9,66.1,74.1,78.7,,Kosovo
48.5,67.9,76.7,79.7,,Kuwait
52.5,59.7,65.4,70.7,AS,Kyrgyzstan
39.5,46.9,53.6,64.6,,Land-locked Developing Countries (LLDC)
38.7,45.9,58.4,67.6,,Laos
48.6,61.4,71.1,74.9,,Latin America and the Caribbean
68.6,69.2,70.3,75.0,EU,Latvia
36.8,43.8,55.1,64.6,,Least developed countries
61.0,58.1,73.9,79.7,AS,Lebanon
44.8,53.0,48.4,53.7,AF,Lesotho
41.3,55.0,64.7,71.1,,Less developed regions
40.3,52.9,62.6,69.2,,"Less developed regions, excluding China"
42.0,56.9,66.6,72.4,,"Less developed regions, excluding least developed countries"
38.5,42.8,51.4,60.9,AF,Liberia
33.6,60.8,70.7,72.8,AS,Libya
62.3,66.2,77.0,83.1,EU,Liechtenstein
66.1,70.9,72.1,75.7,EU,Lithuania
31.6,44.8,52.5,62.9,,Low-income countries
41.1,51.9,62.2,68.7,,Lower-middle-income countries
66.4,70.3,77.8,81.8,EU,Luxembourg
59.8,71.4,81.0,84.9,,Macao
39.6,49.5,57.9,65.3,AF,Madagascar
32.7,40.2,44.5,63.3,AF,Malawi
47.0,65.7,72.8,75.6,,Malaysia
37.4,50.5,70.9,80.0,,Maldives
28.2,36.2,50.5,59.4,AF,Mali
61.6,71.6,77.6,83.3,AS,Malta
52.1,60.3,63.3,64.5,OC,Marshall Islands
54.2,68.1,77.7,82.6,,Martinique
38.7,52.6,61.0,65.3,AF,Mauritania
52.4,62.0,71.6,74.9,AF,Mauritius
42.9,65.7,75.3,77.2,,Mayotte
44.0,62.8,73.6,74.0,NA,Mexico
49.4,62.8,69.8,71.3,OC,Micronesia (country)
56.1,64.3,66.4,70.5,EU,Moldova
66.5,73.6,81.6,86.5,EU,Monaco
39.6,55.6,62.9,71.2,,Mongolia
59.4,71.4,74.0,77.2,,Montenegro
48.0,67.7,74.6,75.2,,Montserrat
63.5,71.4,75.2,79.6,,More developed regions
39.1,51.2,66.8,74.0,AF,Morocco
37.3,42.6,49.5,60.5,AF,Mozambique
35.4,52.5,60.2,66.5,,Myanmar
41.5,56.5,52.0,62.6,AF,Namibia
56.7,60.9,58.7,63.2,OC,Nauru
37.7,45.0,62.6,69.0,,Nepal
71.4,74.6,78.1,81.8,EU,Netherlands
48.6,63.4,74.6,79.9,,New Caledonia
69.3,72.2,78.7,82.4,OC,New Zealand
41.0,56.0,67.2,73.8,NA,Nicaragua
36.3,36.6,49.3,62.5,AF,Niger
35.8,43.7,47.2,52.6,AF,Nigeria
54.6,66.0,67.4,70.6,OC,Niue
13.8,63.5,60.8,73.0,,North Korea
50.2,67.0,72.9,77.3,AS,North Macedonia
68.0,72.6,77.0,79.3,,Northern America
58.9,67.0,74.9,76.8,OC,Northern Mariana Islands
71.6,74.8,78.7,82.8,EU,Norway
61.4,68.8,75.4,78.8,,Oceania
29.7,53.3,73.5,78.0,AS,Oman
35.0,55.9,62.1,66.5,AS,Pakistan
52.9,59.1,65.9,64.4,OC,Palau
45.8,58.6,70.4,74.8,AS,Palestine
55.0,68.1,74.0,77.9,NA,Panama
39.1,55.0,61.7,65.2,OC,Papua New Guinea
58.5,63.4,69.8,73.6,SA,Paraguay
46.2,57.9,70.4,76.0,SA,Peru
53.4,61.7,69.4,71.7,,Philippines
59.1,70.4,73.7,77.6,EU,Poland
58.5,68.8,76.8,81.4,EU,Portugal
