,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AF,40.96619230769231,41.56965384615384,41.80107692307692,42.36382692307692,42.53855769230769,42.75609615384615,43.10742307692307,43.48242307692307,43.49894230769231,43.920923076923074,44.45548076923077,44.65925,45.49073076923077,45.92073076923077,46.22282692307692,46.52148076923077,47.21996153846154,47.57111538461538,48.08571153846154,49.00081132075472,49.40077358490566,49.76207547169811,49.7232641509434,49.88149056603773,50.19647169811321,50.581490566037736,50.48060377358491,50.3544716981132,51.127566037735846,50.99145283018868,50.966264150943395,50.71528301886792,50.98920754716981,51.23403773584906,51.418113207547165,51.4963962264151,51.442037735849055,50.99469811320755,51.753433962264154,52.681132075471695,53.04183018867925,53.44758490566037,53.8991320754717,54.454886792452825,54.922,55.55762264150943,56.08535849056604,56.59077358490566,57.159358490566035,57.73084905660377,58.22967924528302,58.832320754716974,59.298660377358495,59.63407547169811,60.14518867924529,60.63596226415095,61.027037735849056,61.31384905660377,61.62750943396226,61.14884905660377
AS,52.61167857142857,53.00825,52.72133333333334,53.52662962962963,54.267148148148145,55.444250000000004,55.93953571428572,56.49275,56.983321428571436,57.489357142857145,57.92089285714286,58.644107142857145,59.039321428571434,58.75210714285714,59.45607142857143,59.261607142857144,60.573392857142856,60.95392857142857,61.27925,61.52157142857143,61.56825,60.96321428571429,62.19085714285715,62.47635714285714,62.827999999999996,63.320035714285716,63.865678571428575,63.71771428571429,64.70367857142857,64.89951724137931,65.60724137931034,65.51044827586206,65.58548275862069,65.91275862068966,66.15958620689655,66.40789655172414,66.58913793103449,66.79693103448275,67.26851724137931,67.58996551724138,67.8663448275862,68.11324137931035,68.30479310344828,68.60051724137931,68.76731034482758,68.8708275862069,69.19844827586208,69.59837931034482,70.02962068965518,70.36389655172414,70.49058620689655,70.63489655172413,70.8393448275862,70.88034482758621,71.18751724137931,71.36841379310346,71.66213793103448,71.88244827586206,72.14772413793104,71.08758620689655
EU,65.897,65.84277142857142,66.04354285714285,66.6088,66.6278,66.80677142857144,66.92948571428572,66.81128571428572,66.57222857142858,66.81045714285715,66.96857142857144,67.23528571428572,67.40451428571428,67.56842857142857,67.60171428571428,67.79085714285713,68.0319142857143,68.06071428571428,68.17702857142856,68.24137142857143,68.50131428571429,68.82757142857143,68.73077142857143,69.0157142857143,69.13537142857142,69.69651428571429,69.96908571428571,70.10239999999999,70.15808571428572,70.12037142857143,70.03947222222222,69.45454285714285,69.28388571428572,70.05255555555556,70.29216666666667,70.82038888888889,71.08886486486486,71.49447222222221,71.72647222222221,71.8874054054054,72.30783783783784,72.48624324324324,72.82664864864866,73.23605405405405,73.33724324324325,73.74491891891891,73.984,74.36724324324325,74.6721891891892,74.98962162162162,75.44221621621622,75.60537837837838,75.89581081081081,76.20397297297298,76.18975675675676,76.49859459459459,76.70937837837837,76.79583783783784,77.13883783783784,76.29343243243243
NA,56.498444444444445,56.861333333333334,57.29025925925926,57.82081481481482,57.98762962962963,58.43992592592593,58.76444444444445,59.0614074074074,59.35574074074074,59.46333333333333,60.13203703703704,60.2267037037037,60.89359259259259,61.30203703703704,61.82011111111111,61.87137037037037,62.33151851851852,62.349642857142854,62.363749999999996,62.78725000000001,63.056714285714285,63.22067857142857,63.46589285714286,64.05917857142857,64.38003571428571,64.81175,65.12935714285715,65.5605357142857,65.679,66.15124999999999,66.45846428571429,66.70139285714286,66.96635714285715,67.16610714285714,67.4042857142857,67.64375,67.94746428571429,67.9895,68.44953571428572,68.73382142857143,68.91142857142857,69.26171428571429,69.42660714285714,69.62392857142858,69.93617857142857,70.21910344827586,70.5088275862069,70.69279310344827,71.02265517241379,70.95400000000001,71.46313793103448,71.69124137931034,71.90355172413793,72.01248275862069,72.13982758620689,72.10668965517242,72.20793103448275,72.1967142857143,72.33325,71.24089285714287
OC,53.705090909090906,54.20245454545454,54.71163636363636,55.18645454545455,55.620909090909095,55.99872727272727,56.49127272727273,56.93172727272727,57.36681818181818,57.738818181818175,58.179,58.37745454545455,58.77227272727273,59.21254545454545,59.42418181818182,59.929,60.144000000000005,60.704181818181816,61.063818181818185,61.41136363636363,61.747454545454545,62.02281818181818,62.37872727272727,62.73418181818182,63.02763636363636,63.220636363636366,63.989000000000004,63.82090909090909,64.07545454545455,64.341,64.73272727272727,64.80836363636364,65.31327272727273,65.57009090909091,65.93091666666668,66.10663636363637,66.39154545454545,66.59272727272727,66.75041666666667,66.70246153846155,67.31527272727273,67.31972727272728,67.63390909090909,67.81009090909092,67.79783333333333,68.04490909090909,68.09618181818182,68.20445454545455,68.28081818181818,68.37927272727273,68.47318181818183,68.58990909090909,68.69818181818182,68.74963636363636,68.78218181818183,68.97181818181818,69.12681818181818,69.2369090909091,69.32027272727272,69.10709090909091
SA,53.6145,53.844,54.14575,54.3535,54.6385,55.06725,55.346000000000004,55.55625,55.87075,56.361000000000004,56.68025,57.0975,57.51125,57.88325,58.243249999999996,58.5945,59.054,59.51125,59.9695,60.3765,60.9075,61.2,61.542500000000004,61.8185,62.231500000000004,62.60975,63.1065,63.628249999999994,63.946,64.1765,64.5285,64.809,65.0945,65.5955,65.7465,66.07125,66.24475,66.57925,66.8385,66.96525,67.23825,67.4065,67.60225,67.90325,68.29025,68.652,68.77475,69.029,69.39575,69.57675,69.829,69.965,70.17175,70.45,70.47175,70.44425,70.80675,70.9905,71.179,69.40825000000001
AllWorld,53.882151038776044,54.221410525585526,54.45226645607479,54.976670985495986,55.28009076016576,55.75217013017846,56.09636027953528,56.389307245223904,56.607966871708534,56.96398147963148,57.389372015330345,57.70671685105018,58.18528030056364,58.43984982918315,58.79469259444259,58.9948025708859,59.559131199972875,59.858472152847156,60.156509715284706,60.556477969043534,60.863667783631456,60.99939298987176,61.33866880870702,61.66423706403659,61.96650253410112,62.37336282161235,62.75670420035939,62.86404679817037,63.28163081148411,63.4466819166899,63.72211155181959,63.66650510756322,63.872117648367684,64.25517499400706,64.49192807701047,64.75771967177742,64.95063337866803,65.07459644043996,65.46447930113634,65.7600059941919,66.11349402546743,66.33916851444259,66.61555667688913,66.93812126140095,67.17513591547213,67.5148969476367,67.77459436180281,68.08044063123276,68.4267319539404,68.66573165953704,68.98796690293536,69.21979102583981,69.4678832596792,69.65508539908572,69.81937034696168,70.00428808147326,70.2566755435938,70.40270975782117,70.6244323561673,69.71435024369443
