,YY,LE
AF,1984,53.98386792452831
AS,1984,68.33360714285713
EU,1984,76.38671428571428
NA,1984,69.76985714285715
OC,1984,68.29727272727273
SA,1984,67.374
AllWorld,1984,67.35755320387159
AF,1985,54.35418867924528
AS,1985,68.69221428571429
EU,1985,76.37662857142857
NA,1985,70.021
OC,1985,68.511
SA,1985,67.68925
AllWorld,1985,67.60738025606469
AF,1986,54.65945283018868
AS,1986,69.11607142857143
EU,1986,76.78088571428572
NA,1986,70.48539285714286
OC,1986,68.79572727272728
SA,1986,68.0445
AllWorld,1986,67.98033835048598
AF,1987,54.76901886792454
AS,1987,69.28385714285714
EU,1987,77.0018
NA,1987,70.888
OC,1987,69.43941666666667
SA,1987,68.418
AllWorld,1987,68.3000154462414
AF,1988,54.51418867924528
AS,1988,68.92117857142857
EU,1988,77.20737142857142
NA,1988,71.22896428571428
OC,1988,69.3970909090909
SA,1988,68.774
AllWorld,1988,68.34046564567508
AF,1989,55.22962264150944
AS,1989,70.238
EU,1989,77.28788571428572
NA,1989,71.58592857142857
OC,1989,69.61427272727273
SA,1989,69.15375
AllWorld,1989,68.85157660908274
AF,1990,55.36403773584905
AS,1990,70.41168965517241
EU,1990,77.41594285714285
NA,1990,71.88035714285714
OC,1990,70.27425
SA,1990,69.5215
AllWorld,1990,69.14462956517023
AF,1991,55.02832075471699
AS,1991,70.71717241379311
EU,1991,77.3681388888889
NA,1991,72.19464285714285
OC,1991,70.07518181818182
SA,1991,69.93575
AllWorld,1991,69.21986778878728
AF,1992,54.80341509433963
AS,1992,70.87386206896552
EU,1992,77.35334285714286
NA,1992,72.41953571428571
OC,1992,70.14718181818182
SA,1992,70.19200000000001
AllWorld,1992,69.29822292548592
AF,1993,55.05532075471698
AS,1993,71.1175172413793
EU,1993,77.16134285714286
NA,1993,72.68485714285714
OC,1993,70.47327272727273
SA,1993,70.5955
AllWorld,1993,69.51463512056151
AF,1994,55.09792452830189
AS,1994,71.18837931034483
EU,1994,77.78197222222222
NA,1994,72.92160714285714
