,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AF,44.304403846153846,44.69673076923077,44.99280769230769,45.51630769230769,45.76751923076923,46.01328846153846,46.42119230769231,46.809615384615384,46.90788461538462,47.350884615384615,47.92419230769231,48.168326923076926,48.876961538461536,49.25342307692308,49.58188461538461,50.041096153846155,50.80767307692307,51.33488461538462,51.90415384615385,52.84809433962264,53.293283018867925,53.75650943396226,53.74418867924528,53.983867924528305,54.35418867924528,54.65945283018868,54.76901886792454,54.51418867924528,55.22962264150944,55.36403773584905,55.02832075471699,54.80341509433963,55.05532075471698,55.09792452830189,55.3991320754717,55.3388679245283,55.39,55.087320754716984,55.77464150943396,56.116018867924524,56.36152830188679,56.663886792452836,57.04647169811321,57.55501886792453,58.103811320754716,58.719,59.36815094339623,59.98018867924528,60.64781132075471,61.29281132075472,61.98554716981132,62.67396226415094,63.22220754716981,63.77330188679245,64.27303773584906,64.85781132075472,65.30477358490566,65.59384905660377,65.97701886792453,65.71709433962263
AS,56.66589285714286,57.217285714285715,57.065629629629626,57.83262962962963,58.5407037037037,59.707142857142856,60.266214285714284,60.85371428571428,61.42607142857143,62.00060714285714,62.478678571428574,63.09967857142857,63.635,64.0745,64.53732142857143,64.15567857142857,65.31464285714286,65.78578571428571,66.30550000000001,66.82014285714286,67.16407142857143,66.87707142857143,68.01417857142857,68.33360714285713,68.69221428571429,69.11607142857143,69.28385714285714,68.92117857142857,70.238,70.41168965517241,70.71717241379311,70.87386206896552,71.1175172413793,71.18837931034483,71.35779310344829,71.6345172413793,71.8108275862069,72.03968965517241,72.38837931034483,72.78724137931034,73.13658620689654,73.38644827586207,73.6853448275862,74.04748275862069,74.24562068965517,74.63879310344828,74.90610344827586,75.15037931034482,75.46137931034482,75.7616551724138,75.91086206896551,76.00434482758621,76.27265517241379,76.43596551724139,76.67437931034482,76.95203448275862,77.3525172413793,77.50203448275863,77.61955172413793,76.60079310344828
EU,71.73857142857143,71.70617142857142,72.04437142857142,72.67405714285715,72.74091428571428,73.01008571428572,73.24374285714286,73.21371428571429,73.18197142857143,73.55765714285714,73.79474285714285,74.0582,74.2672,74.50908571428572,74.66,74.86354285714286,75.21825714285714,75.28694285714286,75.48257142857142,75.60482857142857,75.88554285714287,76.157,76.19477142857143,76.38671428571428,76.37662857142857,76.78088571428572,77.0018,77.20737142857142,77.28788571428572,77.41594285714285,77.3681388888889,77.35334285714286,77.16134285714286,77.78197222222222,77.78427777777777,78.18147222222223,78.2635945945946,78.57808333333334,78.73849999999999,78.77002702702703,79.19897297297298,79.26021621621622,79.36359459459459,79.94872972972973,80.04859459459459,80.28078378378379,80.47502702702702,80.8278918918919,81.00848648648648,81.24635135135135,81.6824054054054,81.71794594594594,81.83683783783785,82.13735135135134,81.95424324324324,82.3015945945946,82.38043243243243,82.48881081081082,82.74543243243244,82.00310810810811
NA,60.43344444444444,60.90774074074074,61.28837037037037,61.90514814814815,62.29581481481482,62.656851851851854,63.055814814814816,63.401481481481476,63.76685185185185,63.824888888888886,64.61922222222222,64.71181481481482,65.47714814814815,65.81992592592593,66.54540740740741,66.64655555555555,67.35051851851851,67.68503571428572,68.02039285714285,68.29514285714286,68.76432142857144,68.97082142857143,69.41696428571429,69.76985714285715,70.021,70.48539285714286,70.888,71.22896428571428,71.58592857142857,71.88035714285714,72.19464285714285,72.41953571428571,72.68485714285714,72.92160714285714,73.13317857142857,73.44525,73.70246428571429,73.65214285714286,74.18674999999999,74.47725,74.63532142857143,74.96685714285715,75.10960714285714,75.34278571428571,75.70692857142856,76.01031034482759,76.26851724137931,76.46244827586207,76.83320689655173,76.4996551724138,77.16675862068965,77.32103448275862,77.48827586206896,77.57579310344828,77.73179310344828,77.83958620689656,77.94293103448275,77.88685714285714,77.98164285714286,77.29014285714285
OC,57.00081818181818,57.597818181818184,58.23572727272727,58.838909090909084,59.408545454545454,59.92581818181818,60.61454545454546,61.15972727272728,61.669000000000004,62.20563636363636,62.7359090909091,62.920181818181824,63.57390909090909,64.06418181818182,64.31109090909091,64.98063636363636,65.30836363636364,65.95072727272726,66.39054545454546,66.65463636363637,67.09918181818182,67.43372727272727,67.82809090909092,68.29727272727273,68.511,68.79572727272728,69.43941666666667,69.3970909090909,69.61427272727273,70.27425,70.07518181818182,70.14718181818182,70.47327272727273,70.72418181818182,71.43908333333333,71.11590909090908,71.41345454545454,71.59263636363636,71.57600000000001,71.87330769230769,72.21909090909091,72.13727272727273,72.42909090909092,72.53381818181818,72.60341666666666,72.75172727272728,72.77,73.027,73.13490909090909,73.31054545454545,73.54745454545456,73.62727272727273,73.73790909090908,73.82727272727273,73.91390909090909,74.08463636363636,74.24527272727272,74.36263636363637,74.50281818181817,74.59472727272727
SA,59.340250000000005,59.62825,60.00975,60.20625,60.527249999999995,60.9085,61.221000000000004,61.543,61.8445,62.308749999999996,62.58425,63.09925,63.602999999999994,63.9925,64.44775,64.73425,65.155,65.41799999999999,65.74175,66.02175,66.51175,66.7955,67.102,67.374,67.68925,68.0445,68.418,68.774,69.15375,69.5215,69.93575,70.19200000000001,70.5955,70.9165,71.24575,71.5745,71.843,72.19375,72.5355,72.88125,73.261,73.59375,73.544,73.92775,74.29125,74.50725,74.55675,74.9655,75.2745,75.6825,75.92025,76.18424999999999,76.37825000000001,76.45525,76.57875,76.56575000000001,76.8145,76.958,77.15875,75.73649999999999
AllWorld,58.247230126355134,58.62566613910781,58.939442732267736,59.49555028397529,59.88012458159125,60.370281177772846,60.80375161998496,61.16354211837546,61.46604655406322,61.87473735893735,62.35616584156585,62.67624202125035,63.238869796253134,63.61893608921943,64.01390906007573,64.23695991693491,64.85907587196755,65.24356269563769,65.64081893106892,66.04076583149555,66.45302509188924,66.66510492730539,67.05003231234174,67.35755320387159,67.60738025606469,67.98033835048598,68.3000154462414,68.34046564567508,68.85157660908274,69.14462956517023,69.21986778878728,69.29822292548592,69.51463512056151,69.77176083698465,70.0598691435766,70.21508607983982,70.40389016866172,70.52393716066699,70.86662846996315,71.15084916109492,71.4687499699031,71.66807185911017,71.86301819537367,72.22593087539647,72.49993697384994,72.81797741746449,73.05742477667974,73.40223469289067,73.7267155175078,73.96558641191318,74.36887963505441,74.58813504128574,74.82268925173325,75.03415576435104,75.18768541396575,75.4335688281068,75.67340450341214,75.79869797611111,75.99753567724265,75.32372761350818
