,YY,LE,CC
OC,1987,63.989,OC
SA,1987,63.1065,SA
AllWorld,1987,62.75670420035939,AllWorld
AF,1988,50.3544716981132,AF
AS,1988,63.71771428571429,AS
EU,1988,70.10239999999999,EU
NA,1988,65.5605357142857,NA
OC,1988,63.82090909090909,OC
SA,1988,63.62825,SA
AllWorld,1988,62.86404679817037,AllWorld
AF,1989,51.127566037735846,AF
AS,1989,64.70367857142857,AS
EU,1989,70.15808571428572,EU
NA,1989,65.679,NA
OC,1989,64.07545454545455,OC
SA,1989,63.946,SA
AllWorld,1989,63.28163081148411,AllWorld
AF,1990,50.99145283018868,AF
AS,1990,64.89951724137931,AS
EU,1990,70.12037142857143,EU
NA,1990,66.15124999999999,NA
OC,1990,64.341,OC
SA,1990,64.1765,SA
AllWorld,1990,63.4466819166899,AllWorld
AF,1991,50.9662641509434,AF
AS,1991,65.60724137931034,AS
EU,1991,70.03947222222222,EU
NA,1991,66.45846428571429,NA
OC,1991,64.73272727272727,OC
SA,1991,64.5285,SA
AllWorld,1991,63.72211155181959,AllWorld
AF,1992,50.71528301886792,AF
AS,1992,65.51044827586206,AS
EU,1992,69.45454285714285,EU
NA,1992,66.70139285714286,NA
OC,1992,64.80836363636364,OC
SA,1992,64.809,SA
AllWorld,1992,63.66650510756322,AllWorld
AF,1993,50.98920754716981,AF
AS,1993,65.58548275862069,AS
EU,1993,69.28388571428572,EU
NA,1993,66.96635714285715,NA
OC,1993,65.31327272727273,OC
SA,1993,65.0945,SA
AllWorld,1993,63.87211764836768,AllWorld
AF,1994,51.23403773584906,AF
AS,1994,65.91275862068966,AS
EU,1994,70.05255555555556,EU
NA,1994,67.16610714285714,NA
OC,1994,65.57009090909091,OC
SA,1994,65.5955,SA
AllWorld,1994,64.25517499400706,AllWorld
AF,1995,51.418113207547165,AF
AS,1995,66.15958620689655,AS
EU,1995,70.29216666666667,EU
NA,1995,67.4042857142857,NA
OC,1995,65.93091666666668,OC
SA,1995,65.7465,SA
AllWorld,1995,64.49192807701047,AllWorld
AF,1996,51.4963962264151,AF
AS,1996,66.40789655172414,AS
EU,1996,70.82038888888889,EU
NA,1996,67.64375,NA
OC,1996,66.10663636363637,OC
SA,1996,66.07125,SA
AllWorld,1996,64.75771967177742,AllWorld
AF,1997,51.442037735849055,AF
AS,1997,66.58913793103449,AS
EU,1997,71.08886486486486,EU
NA,1997,67.94746428571429,NA
OC,1997,66.39154545454545,OC
SA,1997,66.24475,SA
AllWorld,1997,64.95063337866803,AllWorld
AF,1998,50.99469811320755,AF
AS,1998,66.79693103448275,AS
EU,1998,71.49447222222221,EU
NA,1998,67.9895,NA
OC,1998,66.59272727272727,OC
SA,1998,66.57925,SA
AllWorld,1998,65.07459644043996,AllWorld
AF,1999,51.75343396226416,AF
AS,1999,67.26851724137931,AS
EU,1999,71.72647222222221,EU
NA,1999,68.44953571428572,NA
OC,1999,66.75041666666667,OC
SA,1999,66.8385,SA
AllWorld,1999,65.46447930113634,AllWorld
AF,2000,52.681132075471695,AF
AS,2000,67.58996551724138,AS
EU,2000,71.8874054054054,EU
NA,2000,68.73382142857143,NA
OC,2000,66.70246153846155,OC
SA,2000,66.96525,SA
AllWorld,2000,65.7600059941919,AllWorld
AF,2001,53.04183018867925,AF
AS,2001,67.8663448275862,AS
EU,2001,72.30783783783784,EU
NA,2001,68.91142857142857,NA
OC,2001,67.31527272727273,OC
SA,2001,67.23825,SA
AllWorld,2001,66.11349402546743,AllWorld
AF,2002,53.44758490566037,AF
AS,2002,68.11324137931035,AS
EU,2002,72.48624324324324,EU
NA,2002,69.26171428571429,NA
OC,2002,67.31972727272728,OC
SA,2002,67.4065,SA
AllWorld,2002,66.33916851444259,AllWorld
AF,2003,53.8991320754717,AF
AS,2003,68.30479310344828,AS
EU,2003,72.82664864864866,EU
NA,2003,69.42660714285714,NA
OC,2003,67.63390909090909,OC
SA,2003,67.60225,SA
