Year,continent,female,male,health expenditure per capita,all,GDP per capita,,Female,Male,Health,All,GDP
2007,AS,74.85172413793103,69.22068965517242,864.8477821350098,71.93793103448276,18782.76976551724,45,9.288445838525327,8.857790606630747,6.1884190591502435,8.081800329160814,8.548490669291832
2007,EU,80.83846153846153,74.38717948717948,2366.000003590303,77.04117647058824,30685.646744117646,46,7.595190011724192,7.4469321215298265,3.5361710802714112,6.863448754474398,4.166241695065757
2007,NA,76.34761904761905,70.94761904761906,1413.1293055216472,73.6375,16645.36073125,47,6.180278649078332,6.182485888910957,0.8982173133549974,9.212506391993571,8.891445933615714
2007,OC,72.595,67.865,465.3940758705139,80.2,31784.441,48,7.313302969105827,6.7931892814154295,1.6447207261007541,6.731901526773324,2.6761797102954574
2007,SA,75.6,69.35384615384615,733.589672088623,73.27000000000001,11871.351639999999,49,1.4781613887337244,1.6285891248203193,0.2285163290371618,1.4011249908685812,0.5430717019033762
2008,AF,60.12407407407407,56.76296296296296,224.7912176513672,58.37755102040816,5037.087610204082,50,7.128680267351392,6.889914767289429,2.069135471711145,6.3735795919703975,5.1848731134663675
2008,AS,75.1103448275862,69.58965517241379,886.0687683650425,72.26896551724138,19908.953589655175,51,9.41509474498346,9.008192027672926,6.768098070761296,8.21550579469131,8.630831227974129
2008,EU,81.17435897435898,74.75384615384615,2574.2607502656824,77.41470588235293,30949.45763235294,52,7.674190202012145,7.532875790696778,3.682144017539066,6.92385309372489,4.224185613262869
2008,NA,76.55714285714286,71.15714285714286,1465.5728687710232,73.80625,16831.007231249998,53,6.242491298930091,6.241962814504912,1.0299739588145767,9.248301555993862,8.785385183993588
2008,OC,72.76,68.01,512.7301650047302,80.3,31444.633,54,7.417715808017874,6.878381694733026,1.74295244171795,6.824968953174082,2.834241367408615
2008,SA,75.87692307692308,69.56153846153846,768.881290435791,73.53,12377.76533,55,1.7358097366046472,1.857229668929893,0.26550011393716655,1.6188180290744398,0.558167476435055
2009,AF,60.8074074074074,57.32037037037038,238.07834812164307,58.98571428571428,5085.4529571428575,56,7.241794176172778,7.061061211923633,2.4186475535588206,6.506885719971486,5.275000727119595
2009,AS,75.41034482758621,70.00689655172414,1011.6376533508301,72.64137931034483,20197.713420689655,57,9.476002234348815,9.14702410863493,7.103024313076785,8.319732889868636,8.165580221143767
2009,EU,81.33589743589744,75.09230769230768,2694.5893940645105,77.70588235294117,29458.840088235294,58,7.807054158405506,7.650071703197174,4.005831118149172,7.062559354226018,4.088587238419499
2009,NA,76.9095238095238,71.44285714285714,1581.863636440701,74.19375,16396.56364375,59,6.214212821724747,6.252217456848694,1.0981775279344452,9.355687047994738,8.719354089941039
2009,OC,72.685,68.035,537.2335987091064,80.6,31233.076,60,7.525029003566367,7.004592677425762,1.8986702994030167,6.910877346774786,2.7563177504918617
2009,SA,76.16153846153847,69.86923076923077,824.8259023030599,73.77000000000001,12128.10588,61,1.9794934043741677,2.0957450538149587,0.27493980455372447,1.8547739060559607,0.5895585885296473
2010,AF,61.4537037037037,57.90185185185185,241.46973710901597,59.64489795918367,5186.0269306122445,62,7.358808564608687,7.216648888863816,2.3879808807935374,6.635254583972532,5.7354811932404415
2010,AS,75.72068965517242,70.38620689655173,1000.6200659615653,73.0,21673.046631034485,63,9.549477935805438,9.264821025814822,7.206955969538913,8.402904006222254,8.364074714734844
